试题内容	答案
"押运、随车装卸、通勤通学等人员,在电气化铁路区段内,禁止搭乘机车的煤水车及坐在车顶或装卸的货物上。"	A
严禁抢越、钻车或穿越两车间隙。	A
严禁无安全技术合格证的职工上岗作业。	A
"严禁在带压力的容器或管道上施焊,焊接带电的设备必须先切断电源。"	A
严禁在段内整备场接触网支柱上挂衣物、攀登支柱或在支柱旁休息。	A
严禁在分段绝缘器、接触网终端标下进行机车整备。	A
严禁在生产厂区内吸烟及携带火种和易燃、易爆、有毒、易腐蚀物品进入生产厂区。	A
严禁在未确认接触网停电并接地的情况下攀登机车上部。	A
"要使可燃物着火,没有氧气可以燃烧。"	B
液压传动的作用是利用液压泵将原动机的机械能转换为液体的压力能。    	A
液压传动的作用是利用液压泵将原动机的机械能转换为液体的压力能。  	A
液压马达运转速度降低也许意味着某些元件损伤。	A
液压起复设备的定期检查一般于滤油检查同时进行，经常使用的一般为每月一次。	B
液压千斤顶顶升时用手柄开口处将回油阀逆时针方向适当松开，起重活塞即可。     	B
液压系统中的执行元件主要是指各种液压马达、液压油泵及液压油缸。  	A
液压油缸传来的噪声意味着管路进入了空气。	B
"一般认为,穿着绝缘鞋是防护跨步电压的有效措施之一。"	A
一个重物被吊起是重物受到钢丝绳传递的拉力的作用。 	A
一切机械设备均须指定专人负责，未经许可他人不得擅自动用。 	A
一切灭火措施，都是为了破坏已经形成的燃烧条件。                              	A
依据《内燃、电力机车检修工作要求及检查办法》进行对规检查，通常采用随机抽样和样中抽项的办法进行，以便比较全面和客观地反映一个段的检修工作的真实情况。	A
移车法的缺点作业过程较复杂，动整个车辆时较拉翻法效率低。     	A
移车法有吊移、顶移和拉移3种。                                             	B
移动各种电气设备时，为确保人员安全，应该首先切断电源。 	A
"移动机车前一定要确认机车下无作业人员,鸣笛后再动车。"	A
已报废的吊带修补后允许降低负荷使用。                                        	B
影响钢丝绳使用寿命的因素受拉力大小的影响。      	A
影响钢丝绳使用寿命的因素之一有受滑轮和卷筒直径与钢丝绳直接比值的影响。                                                        	B
影响钢丝绳使用寿命的因素之一有受滑轮和卷筒直径与钢丝绳直接比值的影响。 	B
用湿手拧亮着的灯泡不会有触电危险。	B
"用水浇灭距离接触网4m以外的燃着物时,接触网必须停电。"	B
"用水扑灭一般固体物质的火灾，通过水来大量吸收热量，使燃烧物的温度迅速降低，最后使燃烧终止,叫隔离法。                                                           "	B
用制动缸活塞上的压缩空气推动活塞，由活塞杆传出的力称为制动原力。  	A
"由于工作原因可在铁路钢轨、枕木上坐卧、逗留,禁止在吊起的重物下停留或行走。"	B
"由于我国电气化铁路采用单相工频交流制供电,其电压高达25KV,接触网带电部分直接威胁人身安全和作业安全。"	A
有关行车人员必须执行列车调度员命令，服从调度指挥。	A
有跨步电压危险时，应双脚分开或单腿跳跃，脱离危险区。	B
遇柴油机水散热器或通路冻结时，可用火烤的方法进行解冻。  	B
"遇雷雨天气时,禁止操作隔离开关。严禁带负荷操作隔离开关。"	A
"越过铁路线路时,可以走弯角,同时,并严格执行'一站、二看、三通过'的制度。"	B
运行中如发生故障须上车顶检查时，必须断电降弓，按规定办好停电手续，验电接地后，穿戴好绝缘防护用品方准登顶作业。	A
运输繁忙线路发生事故，如线路损坏严重时，应铺设便线临时开通。               	A
载重稳定系数应等于稳定力矩除以倾翻力矩。                                    	A
再起吊作业中，使用钢丝绳的绳套时，应装套环。 	A
在不得已的情况下可以带电检修作业。	B
在叉心脱轨起复从脱轨车轮前方一直到叉心和岔尖处车轮拉动的径路上填石渣。     	B
"在车底下作业时,做好呼唤应答,禁止用身体各部挎、挤、靠制动系统的其他部件。更换闸瓦时,关闭相应的台车塞门,做好联系。"	A
"在带电的接触网下,不准在机车敞车、平车、罐车等机车车辆上进行任何作业,不准进行用竹杆等物测量货物的装载高度等靠近接触网的作业。"	A
在带电的接触网下禁止抛掷测量工具（如钢卷尺、皮尺等）、索具及其他非绝缘工具物件等。	A
在电化区段，严禁攀登机车、车辆顶部或翻越车顶通过线路。	A
在电化区段内，任何人不准登上机车车辆顶部或翻越车顶通过线路。               	A
"在电气化区段,严禁攀登机车、车辆等车顶部或翻越车顶通过线路，在线路上作业时,禁止接打移动电话。"	A
在电气化区段救援时，按有关规定办理停电手续外接触网应可靠接地。  	A
"在电气化区段内,任何人不准登上机车车辆顶部或翻越车顶通过线路。"	A
在电气化铁路的线路上，人员可以直接或间接地（通过任何物件，如棒条、导线、水流等）与接触网的各导线及其连接部件接触。	B
在电气化铁路附近冲洗车辆时，严禁水流向接触网方向喷射，以防触电事故发生。	A
在电气化铁路区段作业的人员，必须经过电气化安全知识培训，经考试合格后方准上岗作业。	A
"在电气化铁路上,接触网的各导线及其相连部件通常均带有高压电。"	A
"在电气化铁路上,接触网及其相连接的部件,以及电力机车主变压器的一次侧带有20千伏的高压电。"	B
在段内接触网支柱等危险设施、设备及区域，凡涂刷或设置“有电危险”、“切勿靠近”、“严禁攀登”等警示标志的地方，任何人员不得在该地点停留休息。	A
在对物件进行多点吊装时，捆绑点应以中心为重心进行对称选择。                  	B
"在高压场所发现有人触电时,首先应使触电者迅速脱离电源。"	A
在绘图中，齿轮的画法，齿顶圆和齿顶线用粗实线绘制。                          	A
在机车车辆可以攀登到车顶的梯子和通往走台板的前门等处，均应明显地涂有“接触网有电，禁止攀登”的警告标语。                                                      	A
在机车大、小闸上挂好禁动牌是更换机车闸瓦时的安全防护措施之一。	A
在机车底部进行工作时，应打上止轮器并在操作手把上悬挂禁动牌。	A
"在机车上部作业时,所用工具、拆装的螺丝等应放在工具袋内,严禁从车上向下抛掷,拆卸的配件应放置妥当,以免滚落。"	A
"在机车上进行电气焊作业时,应做好防护措施,带好灭火器。"	A
在机车下部工作时因工作需要在不撤除安全防护标牌情况下可以动车。	B
"在机械间作业时,转动部件在转动时不得进行检查和修理。开关机械间车门时一定要把好车门把手,严禁手扶门框,防止挤手。"	A
在机械图常用的图线中，粗实线表示尺寸界线、尺寸线、剖面线等。                	B
"在接触网没有停电的情况下,禁止到内燃、电力机车和车辆的车顶上进行任何作业。"	A
在接触网下起复时，除拉复法、顶复法不受电网高度影响外，其它作业必须停电后才能进行。	A
在接触网下作业时，从业人员必须与其保持2M的安全距离。 	A
"在接近铁路线路通行和越过铁路线路时,应注意了望,确认无机车、车辆移动和列车驶近时,方准通行 。"	A
在进行台钻操作时，为确保安全，必须带好手套。                                	B
在救援作业过程中，救援设备和救援人员始终保持与接触网设备带电部分有2m以上的安全距离。                                                                        	B
在旅客站台、行人较多的电气化区段所有接触网支柱应悬挂或涂有'禁止攀登'、'有电危险'等警告牌。	A
在起吊重量接近最大起重量时，每一支腿下面的地面受压面积不应小于1.5平方米。   	B
在起吊作业中，使用钢丝绳的绳套时，应装套环。            	A
在起升机构中，主、副钩制动装置的作用是使载荷的升降停止运动，并保持在一定位置上。    	A
在起重吊装作业中，常将钢丝绳与吊环、吊钩等连接起来，做成各种吊具，以适应各种物件的起吊、捆绑或作其他用途。                      	B
在起重机被机车牵引之前，必须使走行小齿轮与动轴大齿轮脱开，防止在机车牵引情况下，马达被动高速转动而损坏。	A
在牵引起复机车车辆，应缓慢用力，严禁猛拉，以免钢丝绳被拉断。    	A
在桥梁上起复时，尽量不采用吊复法，以防轨道起重机翻倒。                     	A
"在切断电源以前,可以用手直接或间接使用非绝缘器件接触到触电者。"	B
在曲线上拉复时，应在曲线内轨内侧复轨器前加装护轮轨。                       	A
在任何工作开始之前，经检查使用机械确认良好后，方能进行工作。                	B
在任何情况下，均不得抢越线路或在线路中心行走，但巡道工除外。                	B
在任何情况下，均可在机车、车辆、机械设备等下面或有毒气体或有倒塌危险和过分潮湿的地点附近休息、乘凉或避风雨。	B
在任职期间，须按照铁路职业技能培训规范等规定，定期参加岗位适应性培训和业务考试，考试不合格的，不得继续履职。	A
在砂轮机上磨削工件时，人不得正对砂轮站立，磨削时用力不得过猛。              	A
在生产过程中，用来指导加工和检验零件的图样称为装配图。                      	B
"在特殊情况下,可跨越地沟作业。"	B
在特殊情况下，可以跨越地沟作业。	B
在图样上，断裂处的边界线用双折线表示。                                      	A
在显示手信号时，凡昼间持有手信号旗的人员，应将信号旗展开。	B
在运动中的钢丝绳不要和其他物件摩擦，以免直接降低其使用寿命。    	A
在正常情况下，蓄电池电解液液面应高出极板顶面20—30mm。   	B
闸瓦温度增高时，摩擦系数随之减少。  	A
闸瓦作用于车轮踏面上的压力称为制动力。  	A
摘钩时应执行“一关前、二关后、三摘风管、四提钩”的程序。	A
支线和干线同时中断时，要首先开通支线。                                     	B
直流传动机车定期检修的修程分为大修、中修、小修。	B
直流电动机即可作为发电机工作，也可作为电动机工作，这称之为直流电机的可塑性。	B
制动风压和储备风压正常情况下分别应为5bar和8.1bar。  	A
制动盘磨耗限度为每侧不超过8毫米。	B
制动装置是用外力迫使运行中的机车车辆减速或停车的一种装置。	A
中暑按病性轻重可分为先兆中暑、轻症中暑与重症中暑三种情况。	A
中暑是指在高温和热辐射的长时间作用下，机体体温调节障碍，水电解质代谢紊乱及神经系统功能损害的症状的总称。	A
轴箱定位方式分为有导框定位和无导框定位两大类。	A
转向架的主要功用是承担机车重量，产生并传递牵引力和制动力，实现机车在线路上的行驶。	A
转向架主要由构架、轮对、驱动单元、一系悬挂和二系悬挂、一系减震器和二系减震器、牵引装置（转向架和车体的连接）、制动装置和转向架附属装置等组成。	A
"装载货物高度超过4米的车辆通过电气化铁路平交道口时,严禁随车人员在货件上坐立。"	B
装载易燃、易爆、精密仪器及腐蚀性物品的车辆，可以直接拉翻。                 	B
装载易燃、易爆危险品及精密仪器的车辆，需将货物卸下后方可进行拉翻作业。     	A
准许使用竹竿等物测量货物的装载高度等靠近接触网的作业。	B
走行传感器感应距离为3mm。     	B
钻孔时，工件一定要夹紧可靠，下钻时用力要均匀。                              	A
"作业场所有冻冰时及时清除,以防滑到。"	A
"作业人员必须按规定着装,正确使用劳动防护用品和特种劳动防护用品。"	A
作业人员或检查人员进入检修库内必须按规定佩戴好合格安全帽和其他防护用品。 	A
作业人员违反劳动纪律、作业纪律耽误列车，不构成行车事故。  	B
作业人员在作业前必须充分休息，严禁饮酒，保持精神状态良好，作业中应按规定着装，正确佩戴劳动保护用品。 	A
作业时蓄电池闸刀处悬挂禁止开闸标志牌。	B
"作业完毕要对作业场所进行检查,确认安全无误后方可下班,有交接班的作业必须认真进行交接班,做好交接班记录,做到交班不清楚不接班。"	A
作业信号昼夜兼用，以音响信号为主，手信号为辅，两种信号只能同时使用。 	B
"作业中必须时刻注意观察周围情况,并随时相互提示注意安全,如发现不安全因素,及时提示对方,并停止作业,等一切恢复正常后再继续作业,从而达到互控的目的。"	A
作业中司机要对副司机的工作随时给予指导和监督。	A
作用制动缸活塞上的压缩空气推动活塞，由活塞杆传出的力称为制动原力。	A
造成10人以上30人以下死亡，或者50人以上100人以下重伤，或者5 000万元以上1亿元以下直接经济损失的；为较大事故。	B
铁路运输企业及其职工违反《铁路交事故应急救援规则》规定，不立即组织事故应急救援的，或者迟报、漏报、瞒报、谎报事故延误救援的，对责任人处4千元以上2万元以下的罚款。    	A
事故应急救援工作应当遵循“以人为本、逐级负责、应急有备、处置高效”的原则。  	A
发生列车火灾、爆炸、危险货物泄露等事故时，现场铁路工作人员应当尽快组织疏散现场人员并采取必要的防护措施。    	A
救援列车进行起复工作业时，有救援列车负责人或者指定人员单一指挥	A
现场总指挥以及参加事故应急救援的各工作组负责人、各单位和部门负责人、作业人员应当区别佩戴明显标志	A
事故造成境外来华人员死亡的，事故善后处理工作组应当通知死者家属或者所属国家驻华使馆，尸体处置事宜按照我国有关国定办理。	A
1KW等于1.63马力	B
1马力等于0.763KW	B
滚动轴承能够承受轴向力	B
机油稀释越严重，机油消耗量则越大	A
油环的作用是刮油作用和密封作用	B
